id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,sqft_bin,gr_liv_area_bin
109,533352170,60,0.8252752513164193,79.0,13517,1.0,0.9565217391304348,0.8816705336426914,0.6708333333333333,1.0,1.0,0.8552456839309429,0.4186695611722748,0.6643356643356644,0.41581632653061223,0.8967391304347826,0.9521410579345088,6,8,1976,2005,0.8368421052631579,0.5604873803307223,0.5849236641221374,0.6369294605809128,0.7598820914274669,289.0,0.5846774193548387,0.9595375722543352,0.6707317073170732,0.4249101422097203,0.7887189292543021,0.5905511811023622,1.0,533.0,0.7655172413793103,0.0,192.0,725.0,1.0,1.0,1.0,1.0,725,754,0,1479,0.0,0.0,2,1,3,1,0.6084940652818991,6,1.0,0,0.4265625,0.8365254619197837,1976.0,0.885,2.0,475.0,0.6384976525821596,0.9563257255564948,1.0,0,44,0,0,0,0,0.5142857142857142,1.0,0.652,0,3,2010,0.6058521109263613,130500,1,"(1379.8, 1728.4]"
544,531379050,60,0.8252752513164193,43.0,11492,1.0,0.9565217391304348,0.8816705336426914,0.6708333333333333,1.0,1.0,0.8552456839309429,0.5613273375717166,0.7785547785547785,0.41581632653061223,0.8967391304347826,0.9521410579345088,7,5,1996,1997,0.8368421052631579,0.5604873803307223,0.7744274809160305,0.8421161825726141,0.7598820914274669,132.0,0.5846774193548387,0.9595375722543352,1.0,0.5977496483825597,0.7887189292543021,0.5905511811023622,1.0,637.0,0.7655172413793103,0.0,276.0,913.0,1.0,1.0,1.0,1.0,913,1209,0,2122,1.0,0.0,2,1,4,1,0.6084940652818991,8,1.0,1,0.5890625,0.8365254619197837,1997.0,0.885,2.0,559.0,0.6384976525821596,0.9563257255564948,1.0,0,74,0,0,0,0,0.5142857142857142,1.0,0.652,0,4,2009,0.6058521109263613,220000,1,"(2077.0, 2425.6]"
153,535304180,20,0.8252752513164193,68.0,7922,1.0,0.9565217391304348,0.6728538283062645,0.6708333333333333,1.0,0.7429906542056075,0.8552456839309429,0.43727709722437585,0.7785547785547785,0.41581632653061223,0.8967391304347826,0.7858942065491183,5,7,1953,2007,0.8368421052631579,0.5604873803307223,0.7744274809160305,0.8421161825726141,0.5786701459360201,0.0,0.3736559139784946,0.8670520231213873,0.6707317073170732,0.4249101422097203,0.7887189292543021,0.5905511811023622,1.0,731.0,0.7655172413793103,0.0,326.0,1057.0,1.0,0.683210939478349,1.0,1.0,1057,0,0,1057,1.0,0.0,1,0,3,1,0.6084940652818991,5,1.0,0,0.4265625,0.583596214511041,1953.0,0.627906976744186,1.0,246.0,0.6384976525821596,0.9563257255564948,1.0,0,52,0,0,0,0,0.5142857142857142,1.0,0.652,0,1,2010,0.6058521109263613,109000,2,"(1031.2, 1379.8]"
318,916386060,60,0.8252752513164193,73.0,9802,1.0,0.9565217391304348,0.6728538283062645,0.6708333333333333,1.0,0.7429906542056075,0.8552456839309429,0.6822763219103737,0.7785547785547785,0.41581632653061223,0.8967391304347826,0.9521410579345088,5,5,2006,2007,0.8368421052631579,0.5604873803307223,0.7744274809160305,0.8421161825726141,0.5786701459360201,0.0,0.3736559139784946,0.9595375722543352,1.0,0.5977496483825597,0.7887189292543021,0.5905511811023622,0.7181336405529954,0.0,0.7655172413793103,0.0,384.0,384.0,1.0,0.7733603443909851,1.0,1.0,744,700,0,1444,0.0,0.0,2,1,3,1,0.4150046212968818,7,1.0,0,0.4265625,1.0,2007.0,1.0,2.0,400.0,0.6384976525821596,0.9563257255564948,1.0,100,0,0,0,0,0,0.5142857142857142,1.0,0.652,0,4,2010,0.6058521109263613,174000,1,"(1379.8, 1728.4]"
255,906425045,50,0.8252752513164193,82.0,14235,1.0,0.9565217391304348,0.8816705336426914,0.6708333333333333,1.0,0.7429906542056075,0.8552456839309429,0.5613273375717166,0.7785547785547785,0.41581632653061223,0.8967391304347826,0.6473551637279596,6,8,1900,1993,0.8368421052631579,0.5604873803307223,0.5209923664122137,0.6369294605809128,0.5786701459360201,0.0,0.3736559139784946,0.9595375722543352,1.0,0.31551804969526487,1.0,0.5905511811023622,0.7181336405529954,0.0,0.7655172413793103,0.0,676.0,676.0,1.0,0.683210939478349,1.0,1.0,831,614,0,1445,0.0,0.0,2,0,3,1,0.4150046212968818,6,1.0,0,0.4265625,0.583596214511041,1957.0,0.627906976744186,2.0,484.0,0.6384976525821596,0.9563257255564948,0.6045647058823529,0,59,0,0,0,0,0.5142857142857142,1.0,0.652,0,3,2010,0.6058521109263613,138500,1,"(1379.8, 1728.4]"
138,535126040,20,0.8252752513164193,137.0,16492,1.0,0.9565217391304348,0.8816705336426914,0.6708333333333333,1.0,0.7523364485981309,0.8552456839309429,0.43727709722437585,0.8857808857808858,0.41581632653061223,0.8967391304347826,0.7858942065491183,6,6,1966,2002,0.8368421052631579,0.5604873803307223,0.6326335877862596,0.6369294605809128,0.5786701459360201,0.0,0.5846774193548387,0.9595375722543352,0.6707317073170732,0.4249101422097203,0.7887189292543021,0.5905511811023622,0.7027649769585254,247.0,0.6977011494252874,713.0,557.0,1517.0,1.0,1.0,1.0,1.0,1888,0,0,1888,0.0,0.0,2,1,2,1,0.6084940652818991,6,0.7696969696969697,1,0.66715625,0.8365254619197837,1966.0,1.0,2.0,578.0,0.6384976525821596,0.9563257255564948,1.0,0,0,0,0,0,0,0.5142857142857142,1.0,0.652,0,6,2010,0.6058521109263613,190000,4,"(1728.4, 2077.0]"
2827,908186070,180,0.5931067496409765,35.0,3675,1.0,0.9565217391304348,0.6728538283062645,0.6708333333333333,1.0,0.7429906542056075,0.8552456839309429,0.3830051170724143,0.7785547785547785,0.41581632653061223,1.0,0.743073047858942,6,5,2005,2006,0.8368421052631579,0.5604873803307223,0.7744274809160305,0.8421161825726141,0.7598820914274669,82.0,0.3736559139784946,0.9595375722543352,1.0,0.5977496483825597,0.7887189292543021,1.0,1.0,547.0,0.7655172413793103,0.0,0.0,547.0,1.0,0.7733603443909851,1.0,1.0,1072,0,0,1072,1.0,0.0,2,0,2,1,0.4150046212968818,5,1.0,0,0.4265625,0.6534474988733664,2005.0,1.0,2.0,525.0,0.6384976525821596,0.9563257255564948,1.0,0,44,0,0,0,0,0.5142857142857142,1.0,0.652,0,6,2006,0.9942702062190624,140000,2,"(1031.2, 1379.8]"
145,535154050,20,0.8252752513164193,60.0,12160,1.0,0.9565217391304348,0.8816705336426914,0.6708333333333333,1.0,0.7429906542056075,0.8552456839309429,0.43727709722437585,0.7785547785547785,0.41581632653061223,0.8967391304347826,0.7858942065491183,5,5,1959,1959,0.95,0.5604873803307223,0.5992366412213741,0.6369294605809128,0.7598820914274669,180.0,0.3736559139784946,0.9595375722543352,0.6707317073170732,0.4249101422097203,0.7887189292543021,0.5905511811023622,0.6175115207373272,1000.0,0.7655172413793103,0.0,188.0,1188.0,1.0,0.5748290706507977,1.0,1.0,1188,0,0,1188,1.0,0.0,1,0,3,1,0.4150046212968818,6,1.0,0,0.4265625,0.8365254619197837,1959.0,0.885,2.0,531.0,0.6384976525821596,0.9563257255564948,1.0,0,0,0,0,0,0,0.5142857142857142,0.8043478260869565,0.652,0,5,2010,0.48735737629723064,142000,2,"(1031.2, 1379.8]"
1942,535353130,20,0.8252752513164193,59.0,15783,1.0,0.9565217391304348,0.6728538283062645,0.6708333333333333,1.0,0.7429906542056075,0.8552456839309429,0.372150721042022,0.5501165501165501,0.41581632653061223,0.8967391304347826,0.7858942065491183,5,5,1952,1952,0.8368421052631579,0.5604873803307223,0.5209923664122137,0.5663900414937759,0.5786701459360201,0.0,0.3736559139784946,0.9595375722543352,0.6707317073170732,0.4249101422097203,0.7887189292543021,0.5905511811023622,0.6175115207373272,292.0,0.7655172413793103,0.0,632.0,924.0,1.0,0.683210939478349,1.0,1.0,924,0,0,924,0.0,0.0,1,0,2,1,0.4150046212968818,6,1.0,0,0.4265625,0.583596214511041,1952.0,0.627906976744186,1.0,420.0,0.6384976525821596,0.9563257255564948,1.0,0,324,0,0,0,0,0.5142857142857142,0.8043478260869565,0.61,400,6,2007,0.6058521109263613,112500,1,"(682.6, 1031.2]"
1956,535426130,60,0.8252752513164193,70.0,11606,1.0,0.9565217391304348,0.8816705336426914,1.0,1.0,0.7429906542056075,0.7835325365205843,0.43727709722437585,0.7785547785547785,0.41581632653061223,0.8967391304347826,0.9521410579345088,5,5,1969,1969,0.8368421052631579,0.5604873803307223,0.5992366412213741,0.6369294605809128,0.7598820914274669,192.0,0.3736559139784946,0.9595375722543352,1.0,0.5977496483825597,0.7887189292543021,0.7316929133858268,0.6175115207373272,650.0,0.7655172413793103,0.0,390.0,1040.0,1.0,0.683210939478349,1.0,1.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,0.30403268959478524,9,1.0,2,0.5890625,0.8365254619197837,1969.0,0.627906976744186,2.0,504.0,0.6384976525821596,0.9563257255564948,1.0,335,0,0,0,0,0,0.5142857142857142,1.0,0.652,0,9,2007,0.6058521109263613,135000,2,"(2077.0, 2425.6]"
